Contrail ID,Site ID,Site Name,Lat,Long,Webpage
43028,140,Turkey Creek @ FM 1959,29.583903,-95.187552,https://www.harriscountyfws.org/GageDetail/Index/140?
43029,150,Clear Creek @ Country Club Drive,29.556148,-95.252032,https://www.harriscountyfws.org/GageDetail/Index/150?
43041,310,Berry Bayou @ Nevada Avenue,29.656295,-95.228933,https://www.harriscountyfws.org/GageDetail/Index/310?
43046,380,Sims Bayou @ Hiram-Clarke Road,29.619293,-95.445887,https://www.harriscountyfws.org/GageDetail/Index/380?
43058,485,Brays Bayou @ SH 6,29.715071,-95.643933,https://www.harriscountyfws.org/GageDetail/Index/485?
43069,560,Little White Oak Bayou @ Trimble Street,29.792956,-95.367817,https://www.harriscountyfws.org/GageDetail/Index/560?
43073,585,Vogel Creek @ Victory Drive,29.868133,-95.4692,https://www.harriscountyfws.org/GageDetail/Index/585?
43079,710,San Jacinto River @ Rio Villa,29.829041,-95.077694,https://www.harriscountyfws.org/GageDetail/Index/710?
43086,830,Hunting Bayou @ Loop 610 East,29.793569,-95.267971,https://www.harriscountyfws.org/GageDetail/Index/830?
43183,1075,Tomball Repeater,30.0964515,-95.6573377,https://www.harriscountyfws.org/GageDetail/Index/1075?
43166,1076,Birch Creek @ Riley Road,30.237906,-95.839529,https://www.harriscountyfws.org/GageDetail/Index/1076?
43101,1140,Cypress Creek @ Stuebner-Airline Road,30.006281,-95.511647,https://www.harriscountyfws.org/GageDetail/Index/1140?
43108,1185,Cypress Creek @ Sharp Road,29.921049,-95.840178,https://www.harriscountyfws.org/GageDetail/Index/1185?
43119,1540,Goose Creek @ Baker Road,29.770944,-94.999611,https://www.harriscountyfws.org/GageDetail/Index/1540?
43120,1600,Greens Bayou @ Mount Houston Parkway,29.891907,-95.237623,https://www.harriscountyfws.org/GageDetail/Index/1600?
43200,1655,North Fork Greens Bayou @ Ella,29.972595,-95.435011,https://www.harriscountyfws.org/GageDetail/Index/1655?
43162,1730,Cedar Bayou @ FM1942,29.849395,-94.947525,https://www.harriscountyfws.org/GageDetail/Index/1730?
43184,1930,Huffman Repeater,30.038554,-95.071971,https://www.harriscountyfws.org/GageDetail/Index/1930?
43208,1960,Luce Bayou @ SH 321,30.180512,-94.9398897,https://www.harriscountyfws.org/GageDetail/Index/1960?
43207,1975,Tarkington Bayou @ SH 105,30.3212885,-95.0436996,https://www.harriscountyfws.org/GageDetail/Index/2130?
43144,2130,Hosepen Creek @ Trailside Drive,29.883876,-95.634673,https://www.harriscountyfws.org/GageDetail/Index/1975?
43163,2025,Buffalo Bayou @ Peek Road,29.722212,-95.767445,https://www.harriscountyfws.org/GageDetail/Index/2025?
43148,2170,South Mayde Creek @ Morton Road,29.816945,-95.74048,https://www.harriscountyfws.org/GageDetail/Index/2170?
43195,2253,Buttermilk Creek @ Moorberry Lane,29.815944,-95.53273,https://www.harriscountyfws.org/GageDetail/Index/2253?
43157,2270,Buffalo Bayou @ West Beltway 8,29.762026,-95.557476,https://www.harriscountyfws.org/GageDetail/Index/2270?
